"","file","object_id","tabular","semantic","definition_list","header_row","header_column","rule_1_violation","rule_2_violation","rule_3_violation","rule_4_violation","violations_sum"
"3833","1575878-18",25796,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0
"3834","1576565-14",2656,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3835","1576539-12",18657,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3836","1576307-3",20318,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3837","1576536-14",7712,TRUE,TRUE,TRUE,TRUE,FALSE,0,0,0,0,0
"3838","1576572-15",2724,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3839","1576576-9",2204,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3840","1576565-18",3527,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3841","1576598-10",21785,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3842","1576579-9",2756,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3843","1576761-2",2575,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3844","1576867-13",2540,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3845","1576857-9",3109,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0
"3846","1576565-3",727,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3847","1576571-3",615,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3848","1576570-4",899,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3849","1576597-7",14611,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3850","1576579-8",2362,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3851","1576581-14",2646,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3852","1576736-2",679,TRUE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0
"3853","1576574-8",1546,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3854","1576838-11",1728,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3855","1576867-12",2311,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3856","1576575-4",1033,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3857","1576866-15",2193,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3858","1576574-14",2758,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3859","1576877-9",2648,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3860","1576572-16",2896,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3861","1576575-3",936,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3862","1576574-6",1210,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3863","1576566-3",772,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3864","1576570-3",694,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3865","1576573-7",1474,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3866","1576747-2",614,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3867","1574827-5",8121,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0
"3868","1576720-0",50,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3869","1576573-8",1562,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,1,0,2
"3870","1576874-4",971,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3871","1576882-4",1065,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3872","1576578-8",1732,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3873","1576565-5",1105,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
"3874","1575241-2",6887,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0
"3875","1576875-14",2539,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0
